"Plot Title: 20400737"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400737, SEN S/N: 20400737)","Intensity, Lux (LGR S/N: 20400737, SEN S/N: 20400737)","Coupler Attached (LGR S/N: 20400737)","Host Connected (LGR S/N: 20400737)","Stopped (LGR S/N: 20400737)","End Of File (LGR S/N: 20400737)"
1,06/26/18 02:00:00 PM,22.717,0.0,,,,
2,06/26/18 03:00:00 PM,20.329,64.6,,,,
3,06/26/18 04:00:00 PM,20.615,269.1,,,,
4,06/26/18 05:00:00 PM,17.094,32.3,,,,
5,06/26/18 06:00:00 PM,18.045,10.8,,,,
6,06/26/18 07:00:00 PM,20.901,0.0,,,,
7,06/26/18 08:00:00 PM,22.717,0.0,,,,
8,06/26/18 09:00:00 PM,23.004,0.0,,,,
9,06/26/18 10:00:00 PM,21.569,0.0,,,,
10,06/26/18 11:00:00 PM,19.758,0.0,,,,
11,06/27/18 12:00:00 AM,17.855,0.0,,,,
12,06/27/18 01:00:00 AM,16.332,0.0,,,,
13,06/27/18 02:00:00 AM,15.091,0.0,,,,
14,06/27/18 03:00:00 AM,13.846,0.0,,,,
15,06/27/18 04:00:00 AM,12.787,0.0,,,,
16,06/27/18 05:00:00 AM,11.916,0.0,,,,
17,06/27/18 06:00:00 AM,11.236,0.0,,,,
18,06/27/18 07:00:00 AM,10.944,0.0,,,,
19,06/27/18 08:00:00 AM,11.431,0.0,,,,
20,06/27/18 09:00:00 AM,13.076,10.8,,,,
21,06/27/18 10:00:00 AM,12.594,204.5,,,,
22,06/27/18 11:00:00 AM,12.690,32.3,,,,
23,06/27/18 12:00:00 PM,20.519,6544.5,,,,
24,06/27/18 01:00:00 PM,22.429,6200.0,,,,
25,06/27/18 02:00:00 PM,20.996,3616.7,,,,
26,06/27/18 03:00:00 PM,19.662,0.0,,,,
27,06/27/18 04:00:00 PM,20.519,376.7,,,,
28,06/27/18 05:00:00 PM,20.138,21.5,,,,
29,06/27/18 06:00:00 PM,20.996,10.8,,,,
30,06/27/18 07:00:00 PM,22.429,0.0,,,,
31,06/27/18 08:00:00 PM,22.908,0.0,,,,
32,06/27/18 09:00:00 PM,22.333,0.0,,,,
33,06/27/18 10:00:00 PM,21.091,0.0,,,,
34,06/27/18 11:00:00 PM,19.758,0.0,,,,
35,06/28/18 12:00:00 AM,18.521,0.0,,,,
36,06/28/18 01:00:00 AM,17.379,0.0,,,,
37,06/28/18 02:00:00 AM,16.427,0.0,,,,
38,06/28/18 03:00:00 AM,15.664,0.0,,,,
39,06/28/18 04:00:00 AM,15.091,0.0,,,,
40,06/28/18 05:00:00 AM,14.613,0.0,,,,
41,06/28/18 06:00:00 AM,14.230,0.0,,,,
42,06/28/18 07:00:00 AM,14.038,0.0,,,,
43,06/28/18 08:00:00 AM,14.230,10.8,,,,
44,06/28/18 09:00:00 AM,15.282,0.0,,,,
45,06/28/18 10:00:00 AM,12.304,118.4,,,,
46,06/28/18 11:00:00 AM,10.063,0.0,,,,
47,06/28/18 12:00:00 PM,11.625,3961.1,,,,
48,06/28/18 01:00:00 PM,9.373,39955.8,,,,
49,06/28/18 02:00:00 PM,9.965,44089.2,,,,
50,06/28/18 03:00:00 PM,9.373,21355.7,,,,
51,06/28/18 04:00:00 PM,9.275,6544.5,,,,
52,06/28/18 05:00:00 PM,9.275,18600.1,,,,
53,06/28/18 06:00:00 PM,9.275,11022.3,,,,
54,06/28/18 07:00:00 PM,8.978,2669.5,,,,
55,06/28/18 08:00:00 PM,8.879,3100.0,,,,
56,06/28/18 09:00:00 PM,8.680,215.3,,,,
57,06/28/18 10:00:00 PM,8.581,0.0,,,,
58,06/28/18 11:00:00 PM,8.581,0.0,,,,
59,06/29/18 12:00:00 AM,8.481,0.0,,,,
60,06/29/18 01:00:00 AM,8.382,0.0,,,,
61,06/29/18 02:00:00 AM,8.282,0.0,,,,
62,06/29/18 03:00:00 AM,8.182,0.0,,,,
63,06/29/18 04:00:00 AM,8.082,0.0,,,,
64,06/29/18 05:00:00 AM,8.082,86.1,,,,
65,06/29/18 06:00:00 AM,7.983,1377.8,,,,
66,06/29/18 07:00:00 AM,7.983,4477.8,,,,
67,06/29/18 08:00:00 AM,8.182,9300.1,,,,
68,06/29/18 09:00:00 AM,8.481,11022.3,,,,
69,06/29/18 10:00:00 AM,8.779,24800.2,,,,
70,06/29/18 11:00:00 AM,9.176,28933.5,,,,
71,06/29/18 12:00:00 PM,9.571,37200.2,,,,
72,06/29/18 01:00:00 PM,9.866,33066.9,,,,
73,06/29/18 02:00:00 PM,10.455,77156.1,,,,
74,06/29/18 03:00:00 PM,11.528,104711.8,,,,
75,06/29/18 04:00:00 PM,11.819,82667.2,,,,
76,06/29/18 05:00:00 PM,10.161,9644.5,,,,
77,06/29/18 06:00:00 PM,10.063,7577.8,,,,
78,06/29/18 07:00:00 PM,9.768,5511.1,,,,
79,06/29/18 08:00:00 PM,9.571,1722.2,,,,
80,06/29/18 09:00:00 PM,9.472,139.9,,,,
81,06/29/18 10:00:00 PM,9.373,0.0,,,,
82,06/29/18 11:00:00 PM,9.176,0.0,,,,
83,06/30/18 12:00:00 AM,8.978,0.0,,,,
84,06/30/18 01:00:00 AM,8.879,0.0,,,,
85,06/30/18 02:00:00 AM,8.779,0.0,,,,
86,06/30/18 03:00:00 AM,8.581,0.0,,,,
87,06/30/18 04:00:00 AM,8.382,0.0,,,,
88,06/30/18 05:00:00 AM,8.182,107.6,,,,
89,06/30/18 06:00:00 AM,8.282,2411.1,,,,
90,06/30/18 07:00:00 AM,8.282,3961.1,,,,
91,06/30/18 08:00:00 AM,8.382,6544.5,,,,
92,06/30/18 09:00:00 AM,8.879,14466.8,,,,
93,06/30/18 10:00:00 AM,9.472,28933.5,,,,
94,06/30/18 11:00:00 AM,9.077,10677.8,,,,
95,06/30/18 12:00:00 PM,8.978,9300.1,,,,
96,06/30/18 01:00:00 PM,9.275,16533.4,,,,
97,06/30/18 02:00:00 PM,9.077,8611.2,,,,
98,06/30/18 03:00:00 PM,9.077,10333.4,,,,
99,06/30/18 04:00:00 PM,9.176,6200.0,,,,
100,06/30/18 05:00:00 PM,9.275,10677.8,,,,
101,06/30/18 06:00:00 PM,9.571,26178.0,,,,
102,06/30/18 07:00:00 PM,9.176,6200.0,,,,
103,06/30/18 08:00:00 PM,8.879,1722.2,,,,
104,06/30/18 09:00:00 PM,8.779,204.5,,,,
105,06/30/18 10:00:00 PM,8.680,0.0,,,,
106,06/30/18 11:00:00 PM,8.581,0.0,,,,
107,07/01/18 12:00:00 AM,8.481,0.0,,,,
108,07/01/18 01:00:00 AM,8.382,0.0,,,,
109,07/01/18 02:00:00 AM,8.282,0.0,,,,
110,07/01/18 03:00:00 AM,8.182,0.0,,,,
111,07/01/18 04:00:00 AM,8.182,0.0,,,,
112,07/01/18 05:00:00 AM,8.082,86.1,,,,
113,07/01/18 06:00:00 AM,8.082,807.3,,,,
114,07/01/18 07:00:00 AM,8.182,10333.4,,,,
115,07/01/18 08:00:00 AM,8.481,14466.8,,,,
116,07/01/18 09:00:00 AM,8.680,11711.2,,,,
117,07/01/18 10:00:00 AM,8.481,9300.1,,,,
118,07/01/18 11:00:00 AM,9.373,37200.2,,,,
119,07/01/18 12:00:00 PM,9.571,16533.4,,,,
120,07/01/18 01:00:00 PM,11.041,24800.2,,,,
121,07/01/18 02:00:00 PM,10.651,82667.2,,,,
122,07/01/18 03:00:00 PM,10.455,23422.4,,,,
123,07/01/18 04:00:00 PM,11.334,165334.4,,,,
124,07/01/18 05:00:00 PM,11.139,24800.2,,,,
125,07/01/18 06:00:00 PM,10.063,15155.7,,,,
126,07/01/18 07:00:00 PM,9.472,3616.7,,,,
127,07/01/18 08:00:00 PM,9.176,1044.1,,,,
128,07/01/18 09:00:00 PM,8.879,333.7,,,,
129,07/01/18 10:00:00 PM,8.779,0.0,,,,
130,07/01/18 11:00:00 PM,8.581,0.0,,,,
131,07/02/18 12:00:00 AM,8.481,0.0,,,,
132,07/02/18 01:00:00 AM,8.382,0.0,,,,
133,07/02/18 02:00:00 AM,8.182,0.0,,,,
134,07/02/18 03:00:00 AM,8.082,0.0,,,,
135,07/02/18 04:00:00 AM,7.983,0.0,,,,
136,07/02/18 05:00:00 AM,7.782,43.1,,,,
137,07/02/18 06:00:00 AM,7.682,312.2,,,,
138,07/02/18 07:00:00 AM,7.682,1808.3,,,,
139,07/02/18 08:00:00 AM,7.682,10333.4,,,,
140,07/02/18 09:00:00 AM,7.481,6200.0,,,,
141,07/02/18 10:00:00 AM,7.481,11711.2,,,,
142,07/02/18 11:00:00 AM,7.682,15155.7,,,,
143,07/02/18 12:00:00 PM,7.782,22044.6,,,,
144,07/02/18 01:00:00 PM,7.983,28933.5,,,,
145,07/02/18 02:00:00 PM,8.082,33066.9,,,,
146,07/02/18 03:00:00 PM,7.782,11711.2,,,,
147,07/02/18 04:00:00 PM,8.382,17911.2,,,,
148,07/02/18 05:00:00 PM,8.082,5166.7,,,,
149,07/02/18 06:00:00 PM,8.182,11711.2,,,,
150,07/02/18 07:00:00 PM,7.782,1463.9,,,,
151,07/02/18 08:00:00 PM,7.481,1636.1,,,,
152,07/02/18 09:00:00 PM,7.179,64.6,,,,
153,07/02/18 10:00:00 PM,6.978,0.0,,,,
154,07/02/18 11:00:00 PM,6.775,0.0,,,,
155,07/03/18 12:00:00 AM,6.674,0.0,,,,
156,07/03/18 01:00:00 AM,6.775,0.0,,,,
157,07/03/18 02:00:00 AM,6.775,0.0,,,,
158,07/03/18 03:00:00 AM,6.877,0.0,,,,
159,07/03/18 04:00:00 AM,6.877,0.0,,,,
160,07/03/18 05:00:00 AM,6.775,0.0,,,,
161,07/03/18 06:00:00 AM,6.775,1162.5,,,,
162,07/03/18 07:00:00 AM,6.877,2927.8,,,,
163,07/03/18 08:00:00 AM,6.978,6200.0,,,,
164,07/03/18 09:00:00 AM,7.179,7233.4,,,,
165,07/03/18 10:00:00 AM,7.280,2927.8,,,,
166,07/03/18 11:00:00 AM,7.481,3444.5,,,,
167,07/03/18 12:00:00 PM,8.282,27555.7,,,,
168,07/03/18 01:00:00 PM,9.077,28933.5,,,,
169,07/03/18 02:00:00 PM,8.978,20666.8,,,,
170,07/03/18 03:00:00 PM,10.553,187379.0,,,,
171,07/03/18 04:00:00 PM,9.965,16533.4,,,,
172,07/03/18 05:00:00 PM,9.768,5166.7,,,,
173,07/03/18 06:00:00 PM,10.161,10333.4,,,,
174,07/03/18 07:00:00 PM,9.176,3616.7,,,,
175,07/03/18 08:00:00 PM,8.978,5166.7,,,,
176,07/03/18 09:00:00 PM,8.581,258.3,,,,
177,07/03/18 10:00:00 PM,8.282,0.0,,,,
178,07/03/18 11:00:00 PM,7.882,0.0,,,,
179,07/04/18 12:00:00 AM,7.582,0.0,,,,
180,07/04/18 01:00:00 AM,7.280,0.0,,,,
181,07/04/18 02:00:00 AM,7.079,0.0,,,,
182,07/04/18 03:00:00 AM,6.978,0.0,,,,
183,07/04/18 04:00:00 AM,6.877,0.0,,,,
184,07/04/18 05:00:00 AM,6.775,139.9,,,,
185,07/04/18 06:00:00 AM,6.674,818.1,,,,
186,07/04/18 07:00:00 AM,6.674,1377.8,,,,
187,07/04/18 08:00:00 AM,7.179,5166.7,,,,
188,07/04/18 09:00:00 AM,7.882,14466.8,,,,
189,07/04/18 10:00:00 AM,8.382,10677.8,,,,
190,07/04/18 11:00:00 AM,8.680,17222.3,,,,
191,07/04/18 12:00:00 PM,10.063,31689.1,,,,
192,07/04/18 01:00:00 PM,10.357,20666.8,,,,
193,07/04/18 02:00:00 PM,12.110,82667.2,,,,
194,07/04/18 03:00:00 PM,11.916,42711.4,,,,
195,07/04/18 04:00:00 PM,11.916,37200.2,,,,
196,07/04/18 05:00:00 PM,12.594,23422.4,,,,
197,07/04/18 06:00:00 PM,12.304,31689.1,,,,
198,07/04/18 07:00:00 PM,11.431,6544.5,,,,
199,07/04/18 08:00:00 PM,11.041,2497.2,,,,
200,07/04/18 09:00:00 PM,10.748,118.4,,,,
201,07/04/18 10:00:00 PM,10.357,0.0,,,,
202,07/04/18 11:00:00 PM,10.161,0.0,,,,
203,07/05/18 12:00:00 AM,9.866,0.0,,,,
204,07/05/18 01:00:00 AM,9.669,0.0,,,,
205,07/05/18 02:00:00 AM,9.373,0.0,,,,
206,07/05/18 03:00:00 AM,9.275,0.0,,,,
207,07/05/18 04:00:00 AM,8.978,0.0,,,,
208,07/05/18 05:00:00 AM,8.879,86.1,,,,
209,07/05/18 06:00:00 AM,8.680,1119.5,,,,
210,07/05/18 07:00:00 AM,8.581,1894.5,,,,
211,07/05/18 08:00:00 AM,9.077,8266.7,,,,
212,07/05/18 09:00:00 AM,9.571,12400.1,,,,
213,07/05/18 10:00:00 AM,10.161,11711.2,,,,
214,07/05/18 11:00:00 AM,10.944,9300.1,,,,
215,07/05/18 12:00:00 PM,11.819,22044.6,,,,
216,07/05/18 01:00:00 PM,12.401,24800.2,,,,
217,07/05/18 02:00:00 PM,13.461,57867.0,,,,
218,07/05/18 03:00:00 PM,14.230,44089.2,,,,
219,07/05/18 04:00:00 PM,14.613,77156.1,,,,
220,07/05/18 05:00:00 PM,14.613,66133.8,,,,
221,07/05/18 06:00:00 PM,12.980,5166.7,,,,
222,07/05/18 07:00:00 PM,12.787,2411.1,,,,
223,07/05/18 08:00:00 PM,12.497,979.5,,,,
224,07/05/18 09:00:00 PM,12.304,129.2,,,,
225,07/05/18 10:00:00 PM,12.013,0.0,,,,
226,07/05/18 11:00:00 PM,11.722,0.0,,,,
227,07/06/18 12:00:00 AM,11.334,0.0,,,,
228,07/06/18 01:00:00 AM,10.944,0.0,,,,
229,07/06/18 02:00:00 AM,10.651,0.0,,,,
230,07/06/18 03:00:00 AM,10.553,0.0,,,,
231,07/06/18 04:00:00 AM,10.357,0.0,,,,
232,07/06/18 05:00:00 AM,10.161,118.4,,,,
233,07/06/18 06:00:00 AM,10.063,1463.9,,,,
234,07/06/18 07:00:00 AM,9.965,1463.9,,,,
235,07/06/18 08:00:00 AM,10.357,9644.5,,,,
